Name,Rating,Rating_count,Description,highly_rated_for
Extramarks Education,3.4,(2k),EdTech | Hyderabad / Secunderabad +110 other locations,
Nuvoco Vistas,4.1,(2k),Building Material | Hyderabad / Secunderabad +192 other locations,"Job Security, Skill Development / Learning, Salary & Benefits"
Saint-Gobain,3.9,(2k),Building Material | Hyderabad / Secunderabad +100 other locations,"Job Security, Company Culture, Work Life Balance"
Brakes India,3.9,(2k),Auto Components | Hyderabad / Secunderabad +98 other locations,"Job Security, Skill Development / Learning, Company Culture"
ITC Hotels,4.1,(2k),Hospitality | Hyderabad / Secunderabad +95 other locations,"Job Security, Skill Development / Learning, Company Culture"
Henry Harvin Education,3.6,(2k),EdTech | Hyderabad / Secunderabad +32 other locations,
GAO Tek,4.4,(2k),Electrical Equipment | Hyderabad / Secunderabad +39 other locations,"Work Life Balance, Skill Development / Learning, Company Culture"
Ninjacart,3.8,(2k),Internet | Hyderabad / Secunderabad +114 other locations,Salary & Benefits
Kotak Securities,3.5,(2k),Financial Services | Hyderabad / Secunderabad +138 other locations,
Jio Platforms,3.3,(2k),IT Services & Consulting | Hyderabad / Secunderabad +101 other locations,Job Security
Delphi TVS,3.9,(2k),Auto Components | Hyderabad / Secunderabad +58 other locations,Skill Development / Learning
Reliance General Insurance,3.6,(2k),Insurance | Hyderabad / Secunderabad +194 other locations,
JK Tyre,3.6,(2k),Auto Components | Hyderabad / Secunderabad +141 other locations,
CitiusTech,3.2,(2k),IT Services & Consulting | Hyderabad / Secunderabad +16 other locations,
Biological E,4.2,(2k),Pharma | Hyderabad / Secunderabad +70 other locations,"Job Security, Company Culture, Work Life Balance"
SGS,3.8,(2k),Other | Hyderabad / Secunderabad +146 other locations,Work Life Balance
Senco Gold,4.4,(2k),Jewellery | Hyderabad / Secunderabad +77 other locations,"Job Security, Skill Development / Learning, Company Culture"
Infinite Computer Solutions,3.3,(2k),IT Services & Consulting | Hyderabad / Secunderabad +36 other locations,
Novartis,4.2,(2k),Pharma | Hyderabad / Secunderabad +75 other locations,"Work Life Balance, Company Culture, Salary & Benefits"
YASH Technologies,3.7,(2k),IT Services & Consulting | Hyderabad / Secunderabad +29 other locations,Work Life Balance
Morgan Stanley,3.6,(2k),Financial Services | Hyderabad / Secunderabad +19 other locations,
HSBC Electronic Data Processing,4.1,(2k),IT Services & Consulting | Hyderabad / Secunderabad +19 other locations,"Job Security, Work Life Balance, Company Culture"
SAP,4.1,(1.9k),Software Product | Hyderabad / Secunderabad +53 other locations,"Work Life Balance, Company Culture, Job Security"
EPAM Systems,3.7,(1.9k),IT Services & Consulting | Hyderabad / Secunderabad +34 other locations,"Skill Development / Learning, Salary & Benefits, Work Life Balance"
IDBI Bank,3.4,(1.9k),Banking | Hyderabad / Secunderabad +327 other locations,
AECOM,4.2,(1.9k),Engineering & Construction | Hyderabad / Secunderabad +121 other locations,"Work Life Balance, Company Culture, Work Satisfaction"
L&T Energy Hydrocarbon,3.8,(1.9k),Engineering & Construction | Hyderabad / Secunderabad +87 other locations,"Job Security, Skill Development / Learning"
Narayana Health,3.9,(1.9k),Healthcare | Hyderabad / Secunderabad +64 other locations,"Job Security, Skill Development / Learning, Company Culture"
Paisabazaar.com,3.4,(1.9k),Internet | Hyderabad / Secunderabad +36 other locations,
Manipal Hospitals,4.1,(1.9k),Healthcare | Hyderabad / Secunderabad +66 other locations,"Job Security, Skill Development / Learning, Company Culture"
Honeywell Automation,3.7,(1.9k),Industrial Automation | Hyderabad / Secunderabad +77 other locations,Job Security
Aditya Birla Health Insurance Co,3.7,(1.9k),Insurance | Hyderabad / Secunderabad +249 other locations,
Uflex,3.8,(1.9k),Packaging | Hyderabad / Secunderabad +47 other locations,Job Security
Parle Products,3.9,(1.9k),FMCG | Hyderabad / Secunderabad +238 other locations,Salary & Benefits
Dr Lal PathLabs,4.2,(1.9k),Healthcare | Hyderabad / Secunderabad +201 other locations,"Job Security, Skill Development / Learning, Company Culture"
Gabriel India Limited,4.1,(1.9k),Auto Components | Hyderabad / Secunderabad +51 other locations,"Job Security, Skill Development / Learning, Company Culture"
Tekwissen,4.9,(1.9k),IT Services & Consulting | Hyderabad / Secunderabad +5 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
K12 Techno Services,3.6,(1.9k),EdTech | Hyderabad / Secunderabad +41 other locations,
Microland,3.5,(1.9k),IT Services & Consulting | Hyderabad / Secunderabad +46 other locations,
Philips,3.8,(1.9k),Medical Equipment | Hyderabad / Secunderabad +94 other locations,"Work Life Balance, Company Culture"
Motherson Automotive Technologies and Engineering,3.8,(1.9k),Auto Components | Hyderabad / Secunderabad +67 other locations,Job Security
Google,4.4,(1.9k),Software Product | Hyderabad / Secunderabad +84 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
V-Guard Industries,4.3,(1.9k),Consumer Electronics & Appliances | Hyderabad / Secunderabad +168 other locations,"Company Culture, Work Life Balance, Job Security"
NCR Corporation,3.6,(1.9k),IT Services & Consulting | Hyderabad / Secunderabad +89 other locations,
Crisil,3.5,(1.9k),Analytics & KPO | Hyderabad / Secunderabad +81 other locations,
Shadowfax Technologies,3.5,(1.9k),Logistics | Hyderabad / Secunderabad +238 other locations,
Globiva,3.0,(1.9k),BPO | Hyderabad / Secunderabad +27 other locations,
Spinny,3.7,(1.9k),Internet | Hyderabad / Secunderabad +63 other locations,
Lucas-TVS,3.9,(1.9k),Auto Components | Hyderabad / Secunderabad +76 other locations,Job Security
Haier Appliances India,4.0,(1.9k),Consumer Electronics & Appliances | Hyderabad / Secunderabad +153 other locations,"Skill Development / Learning, Salary & Benefits"
CMS Infosystems,3.5,(1.9k),Software Product | Hyderabad / Secunderabad +214 other locations,
Trent,3.8,(1.9k),Retail | Hyderabad / Secunderabad +142 other locations,Job Security
Safexpress,3.9,(1.9k),Logistics | Hyderabad / Secunderabad +156 other locations,"Job Security, Company Culture, Work Life Balance"
G R Infraprojects,4.1,(1.9k),Engineering & Construction | Hyderabad / Secunderabad +155 other locations,"Salary & Benefits, Company Culture, Work Life Balance"
CNH (Case New Holland),3.7,(1.9k),Industrial Machinery | Hyderabad / Secunderabad +136 other locations,Work Life Balance
Adecco Group,3.8,(1.9k),Recruitment | Hyderabad / Secunderabad +175 other locations,Work Life Balance
Angel One,3.6,(1.9k),FinTech | Hyderabad / Secunderabad +133 other locations,
DHL Supply Chain,4.2,(1.8k),Logistics | Hyderabad / Secunderabad +102 other locations,"Job Security, Company Culture, Work Life Balance"
NTPC,4.2,(1.8k),Power | Hyderabad / Secunderabad +123 other locations,"Company Culture, Work Life Balance, Skill Development / Learning"
Thomson Reuters,3.8,(1.8k),Software Product | Hyderabad / Secunderabad +26 other locations,"Work Life Balance, Company Culture"
Aadhar Housing Finance,4.0,(1.8k),NBFC | Hyderabad / Secunderabad +320 other locations,"Company Culture, Skill Development / Learning, Salary & Benefits"
Tata Power,3.9,(1.8k),Power | Hyderabad / Secunderabad +150 other locations,"Job Security, Work Life Balance, Skill Development / Learning"
Iris Software,3.8,(1.8k),IT Services & Consulting | Hyderabad / Secunderabad +24 other locations,"Company Culture, Work Life Balance, Skill Development / Learning"
HTC Global Services,3.4,(1.8k),IT Services & Consulting | Hyderabad / Secunderabad +32 other locations,
Hindustan Aeronautics,4.3,(1.8k),Defence & Aerospace | Hyderabad / Secunderabad +63 other locations,"Work Life Balance, Work Satisfaction, Job Security"
TVS Sundram Fasteners,3.6,(1.8k),Auto Components | Hyderabad / Secunderabad +66 other locations,
Infinx,3.7,(1.8k),Software Product | Hyderabad / Secunderabad +36 other locations,Job Security
Trident Group,3.3,(1.8k),Fashion & Textile | Hyderabad / Secunderabad +59 other locations,Salary & Benefits
Aye Finance,4.1,(1.8k),NBFC | Hyderabad / Secunderabad +353 other locations,"Salary & Benefits, Company Culture, Work Life Balance"
KENT RO Systems,3.8,(1.8k),Consumer Electronics & Appliances | Hyderabad / Secunderabad +150 other locations,Work Life Balance
Torrent Power,3.7,(1.8k),Power | Hyderabad / Secunderabad +59 other locations,"Job Security, Work Life Balance"
Aragen Life Sciences,3.9,(1.8k),Clinical Research | Hyderabad / Secunderabad +31 other locations,"Job Security, Company Culture, Work Life Balance"
ICICI Home Finance,3.7,(1.8k),Financial Services | Hyderabad / Secunderabad +216 other locations,Salary & Benefits
PI Industries,3.8,(1.8k),Agro Chemicals | Hyderabad / Secunderabad +104 other locations,Salary & Benefits
Honda Cars,4.3,(1.8k),Automobile | Hyderabad / Secunderabad +117 other locations,"Work Life Balance, Company Culture, Job Security"
Jindal Saw,4.0,(1.8k),Iron & Steel | Hyderabad / Secunderabad +76 other locations,"Job Security, Work Life Balance, Work Satisfaction"
NeoSOFT,3.4,(1.8k),IT Services & Consulting | Hyderabad / Secunderabad +24 other locations,
Medi Assist India,3.5,(1.8k),Insurance | Hyderabad / Secunderabad +65 other locations,
AXA Business Services,3.9,(1.8k),IT Services & Consulting | Hyderabad / Secunderabad +11 other locations,"Work Life Balance, Job Security, Company Culture"
Sterling & Wilson,4.0,(1.8k),Engineering & Construction | Hyderabad / Secunderabad +127 other locations,"Work Life Balance, Job Security, Company Culture"
Polycab Wires,4.0,(1.8k),Electrical Equipment | Hyderabad / Secunderabad +168 other locations,"Salary & Benefits, Work Life Balance"
CSB Bank,3.2,(1.8k),Banking | Hyderabad / Secunderabad +231 other locations,
Stellar Migration,1.3,(1.8k),Hyderabad / Secunderabad +7 other locations,
AkzoNobel,4.1,(1.8k),Chemicals | Hyderabad / Secunderabad +159 other locations,"Company Culture, Work Life Balance, Salary & Benefits"
Innovsource Services,3.9,(1.8k),Recruitment | Hyderabad / Secunderabad +245 other locations,
Dhani Loans and Services,3.9,(1.8k),NBFC | Hyderabad / Secunderabad +188 other locations,
SS&C TECHNOLOGIES,3.3,(1.8k),IT Services & Consulting | Hyderabad / Secunderabad +31 other locations,
Future Retail,4.4,(1.7k),Retail | Hyderabad / Secunderabad +198 other locations,"Company Culture, Skill Development / Learning, Work Life Balance"
Capri Global Capital,3.5,(1.7k),NBFC | Hyderabad / Secunderabad +325 other locations,
Infra.Market,4.0,(1.8k),Building Material | Hyderabad / Secunderabad +127 other locations,"Salary & Benefits, Work Life Balance, Company Culture"
Cafe Coffee Day,3.7,(1.7k),Hospitality | Hyderabad / Secunderabad +103 other locations,
TELUS Digital,3.6,(1.7k),IT Services & Consulting | Hyderabad / Secunderabad +25 other locations,
MetLife,4.1,(1.7k),Insurance | Hyderabad / Secunderabad +43 other locations,"Work Life Balance, Job Security, Company Culture"
DIVI'S Laboratories,3.6,(1.7k),Pharma | Hyderabad / Secunderabad +36 other locations,Salary & Benefits
Kalyan Jewellers,4.4,(1.7k),Jewellery | Hyderabad / Secunderabad +153 other locations,"Salary & Benefits, Company Culture, Job Security"
USHA International,4.1,(1.7k),Consumer Electronics & Appliances | Hyderabad / Secunderabad +146 other locations,"Work Life Balance, Job Security, Company Culture"
Tata Communications Transformation Services,3.8,(1.7k),Telecom | Hyderabad / Secunderabad +95 other locations,"Work Life Balance, Job Security"
USV,4.0,(1.7k),Pharma | Hyderabad / Secunderabad +106 other locations,"Work Life Balance, Company Culture, Job Security"
Reckitt Benckiser,4.0,(1.7k),FMCG | Hyderabad / Secunderabad +135 other locations,"Work Life Balance, Salary & Benefits"
Verizon,3.6,(1.7k),Telecom | Hyderabad / Secunderabad +10 other locations,Salary & Benefits
BT Business,3.9,(1.7k),Telecom | Hyderabad / Secunderabad +12 other locations,"Work Life Balance, Company Culture, Job Security"
Vedantu,3.3,(1.7k),EdTech | Hyderabad / Secunderabad +71 other locations,
Hindustan Petroleum,4.2,(1.7k),Oil & Gas | Hyderabad / Secunderabad +251 other locations,"Company Culture, Work Life Balance, Job Security"
Haldiram Foods International Limited,3.8,(1.7k),FMCG | Hyderabad / Secunderabad +160 other locations,
Godrej Properties,3.6,(1.7k),Real Estate | Hyderabad / Secunderabad +34 other locations,Salary & Benefits
NEC,4.1,(1.7k),IT Services & Consulting | Hyderabad / Secunderabad +56 other locations,"Work Life Balance, Company Culture, Work Satisfaction"
HDFC Securities,3.4,(1.7k),Financial Services | Hyderabad / Secunderabad +183 other locations,
Security and Intelligence Services (India),4.0,(1.7k),Law Enforcement & Security | Hyderabad / Secunderabad +192 other locations,"Work Life Balance, Job Security, Company Culture"
Isgec Heavy Engineering,3.8,(1.7k),Engineering & Construction | Hyderabad / Secunderabad +89 other locations,Job Security
Bata,3.5,(1.7k),Fashion & Textile | Hyderabad / Secunderabad +144 other locations,
Pine Labs,3.3,(1.7k),FinTech | Hyderabad / Secunderabad +117 other locations,
Indian Navy,4.6,(1.7k),Defence & Aerospace | Hyderabad / Secunderabad +75 other locations,"Job Security, Skill Development / Learning, Company Culture"
Metro Cash & Carry,4.0,(1.7k),Retail | Hyderabad / Secunderabad +88 other locations,"Work Life Balance, Job Security, Skill Development / Learning"
Exela Technologies,3.3,(1.7k),BPO | Hyderabad / Secunderabad +26 other locations,
First American Corporation,3.5,(1.7k),Insurance | Hyderabad / Secunderabad +21 other locations,
Air India,3.4,(1.7k),Aviation | Hyderabad / Secunderabad +64 other locations,
Mother Dairy Fruit & Vegetable,4.0,(1.7k),Food Processing | Hyderabad / Secunderabad +126 other locations,"Job Security, Work Life Balance, Company Culture"
American Broadcasting Company,4.0,(1.7k),Hyderabad / Secunderabad +107 other locations,"Work Life Balance, Skill Development / Learning, Salary & Benefits"
Cavinkare,4.0,(1.7k),FMCG | Hyderabad / Secunderabad +170 other locations,"Salary & Benefits, Company Culture, Work Life Balance"
Digit Insurance,3.8,(1.6k),Insurance | Hyderabad / Secunderabad +84 other locations,"Job Security, Skill Development / Learning"
Sysnet Global Technologies,3.7,(1.6k),IT Services & Consulting | Hyderabad / Secunderabad +151 other locations,
LivSpace,3.4,(1.6k),Architecture & Interior Design | Hyderabad / Secunderabad +52 other locations,
FactSet,3.7,(1.6k),Analytics & KPO | Hyderabad / Secunderabad +17 other locations,"Work Life Balance, Company Culture, Job Security"
Adani Green Energy,3.9,(1.6k),Power | Hyderabad / Secunderabad +113 other locations,"Salary & Benefits, Skill Development / Learning"
Yamaha Motor,4.1,(1.6k),Automobile | Hyderabad / Secunderabad +153 other locations,"Work Life Balance, Company Culture, Work Satisfaction"
Orange Business,4.2,(1.6k),IT Services & Consulting | Hyderabad / Secunderabad +51 other locations,"Work Life Balance, Company Culture, Job Security"
Granules India Limited,3.8,(1.6k),Pharma | Hyderabad / Secunderabad +22 other locations,
Annapurna Finance,3.9,(1.6k),NBFC | Hyderabad / Secunderabad +386 other locations,Salary & Benefits
Medanta the Medicity,4.0,(1.6k),Healthcare | Hyderabad / Secunderabad +47 other locations,"Job Security, Skill Development / Learning, Company Culture"
Cushman & Wakefield,4.1,(1.6k),Real Estate | Hyderabad / Secunderabad +44 other locations,"Company Culture, Work Life Balance, Job Security"
Frankfinn Institute of Air Hostess Training,3.9,(1.6k),Education & Training | Hyderabad / Secunderabad +61 other locations,Salary & Benefits
HighRadius,2.6,(1.6k),Software Product | Hyderabad / Secunderabad +16 other locations,
DHL Express,4.1,(1.6k),Logistics | Hyderabad / Secunderabad +92 other locations,"Job Security, Company Culture, Work Life Balance"
JSW Bhushan Power & Steel,4.0,(1.6k),Iron & Steel | Hyderabad / Secunderabad +64 other locations,"Skill Development / Learning, Work Life Balance"
Caterpillar Inc,4.1,(1.6k),Industrial Machinery | Hyderabad / Secunderabad +45 other locations,"Company Culture, Work Life Balance, Job Security"
TTEC India,3.7,(1.6k),BPO | Hyderabad / Secunderabad +34 other locations,Company Culture
KONE,4.1,(1.6k),Software Product | Hyderabad / Secunderabad +72 other locations,"Work Life Balance, Company Culture, Job Security"
Tata Play,4.0,(1.6k),Broadcasting | Hyderabad / Secunderabad +222 other locations,"Salary & Benefits, Company Culture, Work Life Balance"
BA Continuum,4.0,(1.6k),IT Services & Consulting | Hyderabad / Secunderabad +18 other locations,"Job Security, Work Life Balance, Company Culture"
MagicBricks,4.1,(1.6k),Internet | Hyderabad / Secunderabad +34 other locations,"Work Life Balance, Salary & Benefits, Company Culture"
Johnson & Johnson,4.0,(1.6k),Healthcare | Hyderabad / Secunderabad +169 other locations,"Company Culture, Work Life Balance, Skill Development / Learning"
Matrimony.com,4.0,(1.6k),Internet | Hyderabad / Secunderabad +64 other locations,"Company Culture, Work Life Balance, Job Security"
L.G.Balakrishnan & Bros,3.5,(1.6k),Auto Components | Hyderabad / Secunderabad +60 other locations,Job Security
Hitachi Astemo,4.0,(1.6k),Auto Components | Hyderabad / Secunderabad +51 other locations,"Company Culture, Work Life Balance, Job Security"
NTT DATA Business Solutions,3.9,(1.6k),IT Services & Consulting | Hyderabad / Secunderabad +32 other locations,"Work Life Balance, Company Culture, Job Security"
Procter & Gamble,4.1,(1.6k),FMCG | Hyderabad / Secunderabad +250 other locations,"Company Culture, Skill Development / Learning, Work Life Balance"
Arvind Group,4.0,(1.6k),Fashion & Textile | Hyderabad / Secunderabad +92 other locations,"Work Life Balance, Job Security, Company Culture"
CG Power and Industrial Solutions,3.8,(1.6k),Electrical Equipment | Hyderabad / Secunderabad +91 other locations,
Wipro Enterprises Ltd,3.8,(1.6k),FMCG | Hyderabad / Secunderabad +121 other locations,Job Security
Vardhman Fabrics,4.0,(1.6k),Fashion & Textile | Hyderabad / Secunderabad +61 other locations,"Job Security, Company Culture, Work Life Balance"
Compass Group Support Services,4.1,(1.6k),Facility Management Services | Hyderabad / Secunderabad +75 other locations,"Work Life Balance, Company Culture, Job Security"
Chegg,4.1,(1.6k),EdTech | Hyderabad / Secunderabad +77 other locations,"Work Life Balance, Company Culture, Work Satisfaction"
Hero Motors Company,3.9,(1.6k),Automobile | Hyderabad / Secunderabad +228 other locations,"Work Life Balance, Company Culture, Job Security"
CMA CGM,3.9,(1.6k),Ports & Shipping | Hyderabad / Secunderabad +36 other locations,"Job Security, Company Culture, Work Life Balance"
IIFL SAMASTA,3.7,(1.6k),NBFC | Hyderabad / Secunderabad +397 other locations,
Suryoday Small Finance Bank,4.0,(1.6k),Banking | Hyderabad / Secunderabad +224 other locations,"Job Security, Skill Development / Learning, Salary & Benefits"
Rungta Mines,4.0,(1.6k),Metals & Mining | Hyderabad / Secunderabad +55 other locations,"Work Life Balance, Job Security, Salary & Benefits"
Honda,4.1,(1.6k),Automobile | Hyderabad / Secunderabad +226 other locations,"Job Security, Company Culture, Work Life Balance"
Patanjali Foods,3.8,(1.6k),FMCG | Hyderabad / Secunderabad +227 other locations,
Emami,3.8,(1.6k),FMCG | Hyderabad / Secunderabad +172 other locations,"Work Life Balance, Job Security"
Clover Infotech,3.4,(1.6k),IT Services & Consulting | Hyderabad / Secunderabad +22 other locations,
Tata Teleservices,3.8,(1.6k),Telecom | Hyderabad / Secunderabad +135 other locations,Work Life Balance
Wockhardt,3.7,(1.6k),Pharma | Hyderabad / Secunderabad +82 other locations,Work Life Balance
Coronis Ajuba Solutions,3.9,(1.6k),BPO | Hyderabad / Secunderabad +31 other locations,"Company Culture, Work Life Balance, Job Security"
Marico,3.8,(1.6k),FMCG | Hyderabad / Secunderabad +179 other locations,"Skill Development / Learning, Salary & Benefits"
Orchids International School,3.8,(1.5k),Education & Training | Hyderabad / Secunderabad +34 other locations,Skill Development / Learning
ReNew,4.3,(1.5k),Power | Hyderabad / Secunderabad +105 other locations,"Job Security, Company Culture, Work Life Balance"
Welspun Living Limited,3.9,(1.5k),Fashion & Textile | Hyderabad / Secunderabad +83 other locations,Skill Development / Learning
Satin Creditcare Network,3.9,(1.5k),NBFC | Hyderabad / Secunderabad +320 other locations,"Salary & Benefits, Company Culture, Work Life Balance"
Veritas Finance,4.4,(1.5k),NBFC | Hyderabad / Secunderabad +297 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
Godrej Industries Group,3.9,(1.5k),Real Estate | Hyderabad / Secunderabad +149 other locations,"Job Security, Company Culture, Work Life Balance"
Toyota Kirloskar Motor,4.3,(1.5k),Automobile | Hyderabad / Secunderabad +89 other locations,"Company Culture, Skill Development / Learning, Job Security"
iOPEX Technologies,3.2,(1.5k),IT Services & Consulting | Hyderabad / Secunderabad +16 other locations,
Tata 1mg,3.6,(1.5k),Internet | Hyderabad / Secunderabad +63 other locations,
KFC,4.0,(1.5k),Hospitality | Hyderabad / Secunderabad +173 other locations,"Skill Development / Learning, Company Culture, Job Security"
ZF Commercial Vehicle Control Systems,3.9,(1.5k),Auto Components | Hyderabad / Secunderabad +49 other locations,
Supreme Industries,4.0,(1.5k),Petrochemicals | Hyderabad / Secunderabad +121 other locations,"Job Security, Work Life Balance, Work Satisfaction"
Goldman Sachs,3.4,(1.5k),Financial Services | Hyderabad / Secunderabad +23 other locations,
HCL Infosystems,4.0,(1.5k),IT Services & Consulting | Hyderabad / Secunderabad +105 other locations,"Work Life Balance, Job Security, Company Culture"
Relaxo Footwear,4.0,(1.5k),Fashion & Textile | Hyderabad / Secunderabad +155 other locations,"Job Security, Work Life Balance, Salary & Benefits"
Cemindia Projects,4.2,(1.5k),Hyderabad / Secunderabad +88 other locations,"Job Security, Salary & Benefits, Company Culture"
Marriott International,4.1,(1.5k),Hospitality | Hyderabad / Secunderabad +90 other locations,"Job Security, Skill Development / Learning, Company Culture"
Dixon Technologies,3.9,(1.5k),Electronics Manufacturing | Hyderabad / Secunderabad +46 other locations,"Job Security, Skill Development / Learning"
Bajaj Capital,3.6,(1.5k),Financial Services | Hyderabad / Secunderabad +171 other locations,
BVG India,4.2,(1.5k),Facility Management Services | Hyderabad / Secunderabad +125 other locations,"Work Life Balance, Company Culture, Work Satisfaction"
IFB,3.6,(1.5k),Consumer Electronics & Appliances | Hyderabad / Secunderabad +174 other locations,
Broadridge Financial Solutions,3.8,(1.5k),FinTech | Hyderabad / Secunderabad +14 other locations,"Job Security, Work Life Balance"
Asahi India Glass,3.8,(1.5k),Auto Components | Hyderabad / Secunderabad +85 other locations,"Job Security, Skill Development / Learning"
Amul India,4.0,(1.5k),Food Processing | Hyderabad / Secunderabad +205 other locations,"Job Security, Work Life Balance, Company Culture"
NielsenIQ,3.6,(1.5k),Analytics & KPO | Hyderabad / Secunderabad +52 other locations,
Suguna Foods,4.0,(1.5k),Food Processing | Hyderabad / Secunderabad +199 other locations,"Company Culture, Work Life Balance, Skill Development / Learning"
Teva Pharmaceuticals,3.9,(1.5k),Pharma | Hyderabad / Secunderabad +52 other locations,Work Life Balance
Shriram Life Insurance,3.5,(1.5k),Insurance | Hyderabad / Secunderabad +319 other locations,
Oracle Cerner,3.4,(1.5k),Software Product | Hyderabad / Secunderabad +7 other locations,Work Life Balance
IndiaFirst Life Insurance,3.8,(1.5k),Insurance | Hyderabad / Secunderabad +237 other locations,Salary & Benefits
Tesco,3.6,(1.5k),Retail | Hyderabad / Secunderabad +17 other locations,"Job Security, Work Life Balance"
Nayara Energy,4.2,(1.5k),Oil & Gas | Hyderabad / Secunderabad +97 other locations,"Work Life Balance, Salary & Benefits, Company Culture"
Urban Company,3.4,(1.5k),Internet | Hyderabad / Secunderabad +59 other locations,
Bisleri,4.2,(1.5k),Beverage | Hyderabad / Secunderabad +174 other locations,"Work Life Balance, Job Security, Salary & Benefits"
Kotak Mahindra Prime,3.9,(1.5k),NBFC | Hyderabad / Secunderabad +169 other locations,"Company Culture, Job Security, Work Life Balance"
Evalueserve,3.1,(1.5k),Analytics & KPO | Hyderabad / Secunderabad +15 other locations,
Taurus BPO Services,4.2,(1.5k),BPO | Hyderabad / Secunderabad +23 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
Max Fashion,4.1,(1.5k),Retail | Hyderabad / Secunderabad +153 other locations,"Job Security, Skill Development / Learning, Company Culture"
Steel Strips Wheels,3.7,(1.5k),Auto Components | Hyderabad / Secunderabad +51 other locations,
Hinduja Leyland Finance,4.0,(1.5k),NBFC | Hyderabad / Secunderabad +295 other locations,"Work Life Balance, Company Culture"
Tanishq,4.2,(1.5k),Jewellery | Hyderabad / Secunderabad +233 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction"
GMR Group,4.0,(1.5k),Engineering & Construction | Hyderabad / Secunderabad +71 other locations,"Job Security, Work Life Balance, Company Culture"
Sanofi,4.0,(1.4k),Pharma | Hyderabad / Secunderabad +89 other locations,"Work Life Balance, Company Culture, Skill Development / Learning"
Honeywell Technology Solutions,3.7,(1.4k),Industrial Automation | Hyderabad / Secunderabad +18 other locations,Job Security
QualityKiosk Technologies,3.3,(1.4k),IT Services & Consulting | Hyderabad / Secunderabad +20 other locations,
Oberoi Group of Hotels,4.1,(1.4k),Hospitality | Hyderabad / Secunderabad +38 other locations,"Job Security, Skill Development / Learning, Company Culture"
Page Industries,4.1,(1.4k),Fashion & Textile | Hyderabad / Secunderabad +163 other locations,"Job Security, Work Life Balance, Company Culture"
GE VERNOVA,4.1,(1.4k),Power | Hyderabad / Secunderabad +81 other locations,"Company Culture, Work Life Balance, Salary & Benefits"
Karur Vysya Bank,3.5,(1.4k),Banking | Hyderabad / Secunderabad +186 other locations,
Schindler,3.9,(1.4k),Industrial Machinery | Hyderabad / Secunderabad +70 other locations,"Skill Development / Learning, Company Culture, Salary & Benefits"
Gland Pharma,3.9,(1.4k),Pharma | Hyderabad / Secunderabad +35 other locations,"Work Life Balance, Job Security"
Canara Bank,3.5,(1.4k),Banking | Hyderabad / Secunderabad +213 other locations,Job Security
Wheelseye Technology,3.5,(1.4k),Internet | Hyderabad / Secunderabad +223 other locations,
Daimler India Commercial Vehicles,3.9,(1.4k),Automobile | Hyderabad / Secunderabad +48 other locations,"Work Life Balance, Job Security, Company Culture"
Tata Group,4.2,(1.4k),IT Services & Consulting | Hyderabad / Secunderabad +169 other locations,"Job Security, Company Culture, Work Life Balance"
Tata Consumer Products,3.5,(1.4k),FMCG | Hyderabad / Secunderabad +220 other locations,
SAI Life Sciences,3.9,(1.4k),Clinical Research | Hyderabad / Secunderabad +25 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning"
ISS Facility Services,4.0,(1.4k),Facility Management Services | Hyderabad / Secunderabad +66 other locations,"Company Culture, Work Life Balance, Job Security"
Piramal Pharma,4.0,(1.4k),Pharma | Hyderabad / Secunderabad +83 other locations,"Job Security, Company Culture, Work Life Balance"
Aon,3.8,(1.4k),Management Consulting | Hyderabad / Secunderabad +24 other locations,"Job Security, Company Culture, Work Life Balance"
NIIT,3.5,(1.4k),Education & Training | Hyderabad / Secunderabad +102 other locations,
Acmegrade,3.9,(1.4k),EdTech | Hyderabad / Secunderabad +20 other locations,"Company Culture, Work Satisfaction, Job Security"
Agilus Diagnostics,4.1,(1.4k),Healthcare | Hyderabad / Secunderabad +135 other locations,"Work Life Balance, Company Culture, Work Satisfaction"
Tata AutoComp Systems,3.8,(1.4k),Auto Components | Hyderabad / Secunderabad +43 other locations,Job Security
Indoco Remedies,3.4,(1.4k),Pharma | Hyderabad / Secunderabad +85 other locations,
Devyani International,3.8,(1.4k),Hospitality | Hyderabad / Secunderabad +129 other locations,Skill Development / Learning
Valeo,3.9,(1.4k),Auto Components | Hyderabad / Secunderabad +23 other locations,"Work Life Balance, Company Culture, Job Security"
SHYAM METALICS AND ENERGY,3.4,(1.4k),Metals & Mining | Hyderabad / Secunderabad +75 other locations,
AB InBev India,3.3,(1.4k),Beverage | Hyderabad / Secunderabad +77 other locations,
Hyatt Regency,4.1,(1.4k),Hospitality | Hyderabad / Secunderabad +49 other locations,"Job Security, Company Culture, Skill Development / Learning"
Bharat Forge,3.8,(1.4k),Auto Components | Hyderabad / Secunderabad +29 other locations,
Sonata Software,3.4,(1.4k),IT Services & Consulting | Hyderabad / Secunderabad +16 other locations,
IDC Technologies,3.1,(1.4k),IT Services & Consulting | Hyderabad / Secunderabad +66 other locations,
Apco Infratech,3.8,(1.4k),Engineering & Construction | Hyderabad / Secunderabad +91 other locations,
