Name,Rating,Rating_count,Description,highly_rated_for
UltraTech Cement,4.1,(9.1k),Building Material | Hyderabad / Secunderabad +531 other locations,"Job Security, Skill Development / Learning, Company Culture"
Paytm,3.2,(9.1k),FinTech | Hyderabad / Secunderabad +414 other locations,
Shriram Finance,4.0,(8.9k),NBFC | Hyderabad / Secunderabad +1104 other locations,"Job Security, Company Culture, Work Life Balance"
Maruti Suzuki,4.2,(8.8k),Automobile | Hyderabad / Secunderabad +446 other locations,"Job Security, Salary & Benefits, Company Culture"
Bajaj Finance,3.9,(8.8k),NBFC | Hyderabad / Secunderabad +957 other locations,"Salary & Benefits, Skill Development / Learning, Job Security"
Sutherland Global Services,3.4,(8.6k),BPO | Hyderabad / Secunderabad +81 other locations,
Equitas Small Finance Bank,4.4,(8.4k),Banking | Hyderabad / Secunderabad +472 other locations,"Company Culture, Job Security, Work Life Balance"
EXL Service,3.6,(8.4k),Analytics & KPO | Hyderabad / Secunderabad +63 other locations,Job Security
Cipla,4.1,(8.3k),Pharma | Hyderabad / Secunderabad +290 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning"
Samsung,3.9,(8.3k),Consumer Electronics & Appliances | Hyderabad / Secunderabad +576 other locations,Salary & Benefits
Ericsson,3.9,(8.3k),Telecom | Hyderabad / Secunderabad +162 other locations,"Company Culture, Work Life Balance"
Wells Fargo,3.7,(8.2k),Financial Services | Hyderabad / Secunderabad +28 other locations,Work Life Balance
Dr. Reddy's,4.0,(8k),Pharma | Hyderabad / Secunderabad +213 other locations,"Skill Development / Learning, Company Culture, Work Life Balance"
Optum Global Solutions,4.0,(7.7k),IT Services & Consulting | Hyderabad / Secunderabad +67 other locations,"Job Security, Work Life Balance, Company Culture"
Delhivery,3.8,(7.6k),Logistics | Hyderabad / Secunderabad +745 other locations,
ICICI Prudential Life Insurance,4.0,(7.6k),Insurance | Hyderabad / Secunderabad +505 other locations,"Job Security, Salary & Benefits, Skill Development / Learning"
HGS,3.8,(7.5k),BPO | Hyderabad / Secunderabad +121 other locations,Job Security
JPMorgan Chase & Co.,3.8,(7.5k),Financial Services | Hyderabad / Secunderabad +55 other locations,"Job Security, Salary & Benefits"
JSW Steel,3.9,(7.5k),Iron & Steel | Hyderabad / Secunderabad +195 other locations,"Job Security, Skill Development / Learning"
Jana Small Finance Bank,3.8,(7.4k),Banking | Hyderabad / Secunderabad +416 other locations,Salary & Benefits
Sun Pharmaceutical Industries,4.1,(7.4k),Pharma | Hyderabad / Secunderabad +263 other locations,"Salary & Benefits, Job Security, Skill Development / Learning"
Amazon Development Centre India,3.8,(7.4k),Internet | Hyderabad / Secunderabad +146 other locations,"Company Culture, Work Life Balance"
Hexaware Technologies,3.4,(7.4k),IT Services & Consulting | Hyderabad / Secunderabad +67 other locations,
Lupin,4.1,(7.2k),Pharma | Hyderabad / Secunderabad +202 other locations,"Skill Development / Learning, Company Culture, Work Life Balance"
L&T Construction,4.0,(7.2k),Engineering & Construction | Hyderabad / Secunderabad +427 other locations,"Job Security, Skill Development / Learning, Salary & Benefits"
Zydus Lifesciences,3.9,(7.2k),Pharma | Hyderabad / Secunderabad +174 other locations,"Salary & Benefits, Skill Development / Learning"
Hindustan Unilever,4.2,(7.1k),FMCG | Hyderabad / Secunderabad +529 other locations,"Skill Development / Learning, Company Culture, Work Life Balance"
Ekart Logistics,3.9,(7.1k),Logistics | Hyderabad / Secunderabad +737 other locations,Skill Development / Learning
KPMG India,3.4,(6.9k),Management Consulting | Hyderabad / Secunderabad +110 other locations,
ITC,3.9,(6.9k),FMCG | Hyderabad / Secunderabad +375 other locations,"Job Security, Skill Development / Learning"
Ujjivan Small Finance Bank,4.0,(6.9k),Banking | Hyderabad / Secunderabad +526 other locations,"Company Culture, Work Life Balance, Job Security"
Axis Max Life Insurance,4.0,(6.9k),Insurance | Hyderabad / Secunderabad +494 other locations,"Skill Development / Learning, Company Culture, Work Life Balance"
Megha Engineering & Infrastructures,3.9,(6.7k),Engineering & Construction | Hyderabad / Secunderabad +403 other locations,
Tata Projects,4.2,(6.6k),Engineering & Construction | Hyderabad / Secunderabad +284 other locations,"Salary & Benefits, Company Culture, Work Life Balance"
FIS,3.8,(6.4k),FinTech | Hyderabad / Secunderabad +61 other locations,"Work Life Balance, Company Culture"
Coforge,3.2,(6.4k),IT Services & Consulting | Hyderabad / Secunderabad +105 other locations,
L&T Technology Services,3.1,(6.3k),IT Services & Consulting | Hyderabad / Secunderabad +94 other locations,
Bajaj Life Insurance,3.9,(6.3k),Insurance | Hyderabad / Secunderabad +604 other locations,Salary & Benefits
IIFL Finance,4.0,(6.2k),NBFC | Hyderabad / Secunderabad +800 other locations,"Work Life Balance, Company Culture, Job Security"
Cholamandalam Investment & Finance,3.8,(6.2k),Financial Services | Hyderabad / Secunderabad +826 other locations,Salary & Benefits
Oracle,3.5,(6.2k),Software Product | Hyderabad / Secunderabad +56 other locations,Work Life Balance
Indian Army,4.7,(6.2k),Defence & Aerospace | Hyderabad / Secunderabad +362 other locations,"Job Security, Company Culture, Work Life Balance"
Omega Healthcare,3.8,(6.2k),BPO | Hyderabad / Secunderabad +69 other locations,
Muthoot Finance,3.7,(6.1k),NBFC | Hyderabad / Secunderabad +781 other locations,
JLL,4.1,(6.1k),Real Estate | Hyderabad / Secunderabad +85 other locations,"Job Security, Company Culture, Work Life Balance"
HCL Group,3.5,(6k),IT Services & Consulting | Hyderabad / Secunderabad +98 other locations,
eClerx,3.1,(6k),IT Services & Consulting | Hyderabad / Secunderabad +32 other locations,
Piramal Finance,4.2,(5.9k),NBFC | Hyderabad / Secunderabad +419 other locations,"Company Culture, Work Life Balance, Skill Development / Learning"
Virtusa Consulting Services,3.7,(5.9k),IT Services & Consulting | Hyderabad / Secunderabad +55 other locations,
DMart,3.9,(5.9k),Retail | Hyderabad / Secunderabad +245 other locations,"Job Security, Company Culture"
HSBC Group,3.9,(5.8k),Financial Services | Hyderabad / Secunderabad +63 other locations,"Company Culture, Work Life Balance, Job Security"
Udaan,3.9,(5.8k),Internet | Hyderabad / Secunderabad +371 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning"
Indiamart Intermesh,3.5,(5.8k),Internet | Hyderabad / Secunderabad +170 other locations,
SMFG India Credit,3.9,(5.7k),NBFC | Hyderabad / Secunderabad +589 other locations,Salary & Benefits
Aurobindo Pharma,4.0,(5.7k),Pharma | Hyderabad / Secunderabad +115 other locations,"Job Security, Salary & Benefits, Work Life Balance"
Siemens,3.9,(5.6k),Industrial Automation | Hyderabad / Secunderabad +154 other locations,"Work Life Balance, Company Culture, Job Security"
CGI Group,4.0,(5.6k),IT Services & Consulting | Hyderabad / Secunderabad +44 other locations,"Work Life Balance, Company Culture, Job Security"
BigBasket,3.9,(5.6k),Internet | Hyderabad / Secunderabad +140 other locations,Job Security
Manappuram Finance,3.9,(5.6k),NBFC | Hyderabad / Secunderabad +642 other locations,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning"
Access Healthcare,3.7,(5.6k),BPO | Hyderabad / Secunderabad +63 other locations,Job Security
Shapoorji Pallonji Group,4.1,(5.6k),Engineering & Construction | Hyderabad / Secunderabad +188 other locations,"Job Security, Work Life Balance, Company Culture"
Firstsource Solutions,3.5,(5.6k),BPO | Hyderabad / Secunderabad +73 other locations,
ICICI Lombard General Insurance Company,3.5,(5.6k),Insurance | Hyderabad / Secunderabad +311 other locations,
GlobalLogic,3.5,(5.6k),IT Services & Consulting | Hyderabad / Secunderabad +60 other locations,
Tata Capital,4.0,(5.6k),NBFC | Hyderabad / Secunderabad +432 other locations,"Job Security, Company Culture, Work Life Balance"
Standard Chartered,3.6,(5.6k),Banking | Hyderabad / Secunderabad +68 other locations,
Mahindra Finance,3.9,(5.5k),NBFC | Hyderabad / Secunderabad +725 other locations,
Apollo Hospitals,4.1,(5.5k),Healthcare | Hyderabad / Secunderabad +229 other locations,"Job Security, Skill Development / Learning, Company Culture"
Bosch Global Software Technologies,3.7,(5.5k),IT Services & Consulting | Hyderabad / Secunderabad +47 other locations,"Work Life Balance, Company Culture, Job Security"
UST,3.7,(5.4k),IT Services & Consulting | Hyderabad / Secunderabad +50 other locations,Work Life Balance
PolicyBazaar,3.7,(5.4k),Internet | Hyderabad / Secunderabad +147 other locations,Salary & Benefits
Ashok Leyland,4.0,(5.4k),Automobile | Hyderabad / Secunderabad +253 other locations,"Work Life Balance, Skill Development / Learning, Company Culture"
Citicorp,3.7,(5.4k),Financial Services | Hyderabad / Secunderabad +68 other locations,Salary & Benefits
Swiggy,3.7,(5.3k),Internet | Hyderabad / Secunderabad +228 other locations,
Cyient,3.6,(5.3k),IT Services & Consulting | Hyderabad / Secunderabad +48 other locations,
Hero MotoCorp,4.1,(5.3k),Automobile | Hyderabad / Secunderabad +365 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
SBI Cards & Payment Services,3.7,(5.1k),Financial Services | Hyderabad / Secunderabad +433 other locations,
